,Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro,Currency,Miasto,Dzielnica,Wspolrzedne,Szerokosc,Dlugosc
0,"Gdańsk Jasień, Eugeniusza Węgrzyna",329000,13708,24.0,1,0,PLN,Gdańsk,Jasień,"Eugeniusza Węgrzyna, Os. Gardenia, Jasień, Gdańsk, województwo pomorskie, 80-125, Polska",54.3339291,18.5669616
1,"Gdańsk Siedlce, Ojcowska",1290000,9485,136.0,6,0,PLN,Gdańsk,Siedlce,"Ojcowska, Kolonia Wyżyny, Siedlce, Gdańsk, województwo pomorskie, 80-146, Polska",54.3547977,18.6228954
2,"Sopot Kamienny Potok, Sienkiewicza",490000,11666,42.0,2,2,PLN,Sopot,Kamienny Potok,"Henryka Sienkiewicza, Kamienny Potok, Sopot, województwo pomorskie, 81-815, Polska",54.4532852,18.5492937
3,Gdańsk Osiedle Strzyża,750000,12295,61.0,3,1,PLN,Gdańsk,Strzyża,,,
4,"Gdańsk Nowy Port, Marynarki Polskiej 6",590000,8993,65.6,2,1,PLN,Gdańsk,Nowy Port,"6, Marynarki Polskiej, Nowy Port, Gdańsk, województwo pomorskie, 80-557, Polska",54.3993582,18.6680236
5,"Gdańsk Wrzeszcz, Racławicka",399000,13159,30.32,1,2,PLN,Gdańsk,Wrzeszcz,"Racławicka, Kolonia Uroda, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-406, Polska",54.3865765,18.6267486
6,"Gdańsk Siedlce, Wesoła",360000,13333,27.0,1,0,PLN,Gdańsk,Siedlce,"Wesoła, Kolonia Spójnia, Siedlce, Gdańsk, województwo pomorskie, 80-105, Polska",54.3503141,18.6349137
7,"Gdańsk Morena, Franciszka Rakoczego",405000,13966,29.0,2,6,PLN,Gdańsk,Morena,"Moto Park, 32, Franciszka Rakoczego, Nowolipie, Siedlce, Gdańsk, województwo pomorskie, 80-171, Polska",54.35006175,18.59514923167543
8,"Gdańsk Wrzeszcz, Wajdeloty",499000,10685,46.7,2,3,PLN,Gdańsk,Wrzeszcz,"Wajdeloty, Brunów, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-433, Polska",54.3814444,18.613255
9,Gdańsk,199000,3618,55.0,3,1,PLN,Gdańsk,,"Gdańsk, województwo pomorskie, Polska",54.3706858,18.61298210330077
10,"Gdańsk Wrzeszcz, Bohomolca",558000,12595,44.3,2,0,PLN,Gdańsk,Wrzeszcz,"Franciszka Bohomolca, Kolonia Uroda, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-410, Polska",54.3891195,18.6284061
11,"Gdańsk Łostowice, Pastelowa",557999,8999,62.0,4,2,PLN,Gdańsk,Łostowice,,,
12,"Gdańsk Morena, Franciszka Rakoczego",734999,12894,57.0,3,4,PLN,Gdańsk,Morena,"Moto Park, 32, Franciszka Rakoczego, Nowolipie, Siedlce, Gdańsk, województwo pomorskie, 80-171, Polska",54.35006175,18.59514923167543
13,"Gdańsk Przymorze, Obrońców Wybrzeża 5a",1239000,21000,59.0,3,9,PLN,Gdańsk,Przymorze,"5A, Obrońców Wybrzeża, Czerwony Dwór, Przymorze Wielkie, Gdańsk, województwo pomorskie, 80-398, Polska",54.4108376,18.596634846723205
