Lokacja,Cena,Cena za m2,m2,Pokoje
"Gdańsk, Letnica, ul. Letnicka",Zapytaj o cenę,,31.57 m²,1 pokój
"Gdańsk, Letnica, ul. Letnicka",576 000 zł,11 184 zł/m²,51.5 m²,2 pokoje
"Gdańsk, Piecki-Migowo, Morena",810 628 zł,11 900 zł/m²,68.12 m²,3 pokoje
"Gdańsk, Ujeścisko-Łostowice, Ujeścisko, ul. Człuchowska",Zapytaj o cenę,,78.95 m²,4 pokoje
"Gdańsk, Ujeścisko-Łostowice, Ujeścisko, ul. Człuchowska",Zapytaj o cenę,,58.07 m²,3 pokoje
"Gdańsk, Ujeścisko-Łostowice, Ujeścisko, ul. Człuchowska",Zapytaj o cenę,,38.33 m²,2 pokoje
"Gdańsk, Ujeścisko-Łostowice, Łostowice, Wielkopolska",450 000 zł,10 676 zł/m²,42.15 m²,2 pokoje
"Gdańsk, Piecki-Migowo, ul. Stanisława Lema",Zapytaj o cenę,,43.57 m²,1 pokój
"ul. Ks. Jerzego Popiełuszki, Gdańsk, pomorskie",Zapytaj o cenę,,82.38 m²,4 pokoje
"ul. Ks. Jerzego Popiełuszki, Gdańsk, pomorskie",Zapytaj o cenę,,56.8 m²,3 pokoje
"ul. Ks. Jerzego Popiełuszki, Gdańsk, pomorskie",Zapytaj o cenę,,51.19 m²,2 pokoje
"ul. Ks. Jerzego Popiełuszki, Gdańsk, pomorskie",Zapytaj o cenę,,25.42 m²,1 pokój
"Gdańsk, Jasień, Potęgowska",579 000 zł,9585 zł/m²,60.41 m²,4 pokoje
"Gdańsk, Jasień, Potęgowska",484 000 zł,8343 zł/m²,58.01 m²,3 pokoje
"Gdańsk, Chełm, ul. Damazego Tilgnera",Zapytaj o cenę,,32.5 m²,1 pokój
"Gdańsk, Piecki-Migowo, Piecki, Dolne Migowo",Zapytaj o cenę,,48.78 m²,2 pokoje
"Gdańsk, Ujeścisko-Łostowice, Ujeścisko, ul. Cedrowa",621 617 zł,9342 zł/m²,66.54 m²,3 pokoje
"Gdańsk, Osowa, ul. Diany",Zapytaj o cenę,,66.6 m²,3 pokoje
"Gdańsk, Osowa, ul. Galaktyczna",475 000 zł,9248 zł/m²,51.36 m²,3 pokoje
"Gdańsk, Osowa, ul. Galaktyczna",585 000 zł,9885 zł/m²,59.18 m²,3 pokoje
