Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro
"Gdańsk Jasień, Eugeniusza Węgrzyna",329 000 zł,13708 zł/m2,24,1,parter
"Gdańsk Siedlce, Ojcowska",1 290 000 zł,9485 zł/m2,136,6,parter
"Sopot Kamienny Potok, Sienkiewicza",490 000 zł,11666 zł/m2,42,2,2
Gdańsk Osiedle Strzyża,750 000 zł,12295 zł/m2,61,3,1
"Gdańsk Nowy Port, Marynarki Polskiej 6",590 000 zł,8993 zł/m2,65.6,2,1
"Gdańsk Wrzeszcz, Racławicka",399 000 zł,13159 zł/m2,30.32,1,2
"Gdańsk Siedlce, Wesoła",360 000 zł,13333 zł/m2,27,1,parter
"Gdańsk Morena, Franciszka Rakoczego",405 000 zł,13966 zł/m2,29,2,6
"Gdańsk Wrzeszcz, Wajdeloty",499 000 zł,10685 zł/m2,46.7,2,3
Gdańsk,199 000 zł,3618 zł/m2,55,3,1
"Gdańsk Wrzeszcz, Bohomolca",558 000 zł,12595 zł/m2,44.3,2,parter
"Gdańsk Łostowice, Pastelowa",557 999 zł,8999 zł/m2,62,4,2
"Gdańsk Morena, Franciszka Rakoczego",734 999 zł,12894 zł/m2,57,3,4
"Gdańsk Przymorze, Obrońców Wybrzeża 5a",1 239 000 zł,21000 zł/m2,59,3,9
"Gdańsk Aniołki, Zwycięstwa",419 000 zł,11026 zł/m2,38,2,2
"Gdańsk Przeróbka, Przetoczna",529 000 zł,9796 zł/m2,54,2,2
"Gdańsk Orunia Górna, Dywizji Wołyńskiej",660 000 zł,9909 zł/m2,66.6,3,parter
Gdańsk Kiełpinek,641 000 zł,10015 zł/m2,64,3,parter
"Gdańsk Wrzeszcz, Jesionowa",550 000 zł,11770 zł/m2,46.73,2,6
"Gdańsk Letnica, Sucha",570 000 zł,15405 zł/m2,37,2,3
"Gdańsk Morena, Myśliwska",599 000 zł,11259 zł/m2,53.2,3,5
"Gdańsk Przymorze, Aleja Rzeczypospolitej","397 166,90 zł",11999 zł/m2,33.1,2,10
