Cena,Miasto,Dzielnica,Cena za m2,M2,Pokoje,Pietro,Szerokosc,Dlugosc
329000,Gdańsk,Jasień,13708,24.0,1,0,54.3339291,18.5669616
1290000,Gdańsk,Siedlce,9485,136.0,6,0,54.3547977,18.6228954
490000,Sopot,Kamienny Potok,11666,42.0,2,2,54.4532852,18.5492937
590000,Gdańsk,Nowy Port,8993,65.6,2,1,54.3993582,18.6680236
399000,Gdańsk,Wrzeszcz,13159,30.32,1,2,54.3865765,18.6267486
360000,Gdańsk,Siedlce,13333,27.0,1,0,54.3503141,18.6349137
405000,Gdańsk,Morena,13966,29.0,2,6,54.35006175,18.59514923167543
499000,Gdańsk,Wrzeszcz,10685,46.7,2,3,54.3814444,18.613255
558000,Gdańsk,Wrzeszcz,12595,44.3,2,0,54.3891195,18.6284061
734999,Gdańsk,Morena,12894,57.0,3,4,54.35006175,18.59514923167543
1239000,Gdańsk,Przymorze,21000,59.0,3,9,54.4108376,18.596634846723205
419000,Gdańsk,Aniołki,11026,38.0,2,2,54.3621096,18.6411789
529000,Gdańsk,Przeróbka,9796,54.0,2,2,54.3565735,18.6808218
660000,Gdańsk,Orunia Górna,9909,66.6,3,0,54.3226628,18.6153666
641000,Gdańsk,Kiełpinek,10015,64.0,3,0,54.3553796,18.5284794
550000,Gdańsk,Wrzeszcz,11770,46.73,2,6,54.3805962,18.5997693
570000,Gdańsk,Letnica,15405,37.0,2,3,54.3904967,18.6474929
397166,Gdańsk,Przymorze,11999,33.1,2,10,54.4034704,18.5910556
990000,Gdańsk,Śródmieście,25352,39.05,2,1,54.3495984,18.6554772
1090000,Gdańsk,Przymorze,16292,66.9,3,9,54.4059819,18.6039015
659000,Sopot,Kamienny Potok,14842,44.4,3,7,54.4532852,18.5492937
614000,Gdańsk,Jasień,9654,63.6,3,3,54.3536518,18.5500839
669000,Gdańsk,Wrzeszcz,11743,56.97,3,1,54.3766522,18.6075306
389000,Gdańsk,Aniołki,10805,36.0,1,2,54.3621096,18.6411789
1421000,Gdańsk,Wrzeszcz,20300,70.0,3,4,54.3684397,18.593441791392408
449000,Gdynia,Pogórze,7360,61.0,3,1,54.5623194,18.4887953
899000,Gdańsk,Wrzeszcz,17801,50.5,2,1,54.3965758,18.6178476
399999,Gdańsk,Wrzeszcz,11764,34.0,2,1,54.3817696,18.6055111
695000,Gdańsk,Śródmieście,12410,56.0,2,1,54.3556503,18.6489283
669000,Gdynia,Śródmieście,13661,48.97,2,5,54.5204317,18.5365345
550000,Gdańsk,Śródmieście,21895,25.12,1,2,54.3487517,18.6471706
450000,Gdańsk,Jasień,10089,44.6,2,2,54.3358541,18.5570297
449000,Gdynia,Oksywie,9760,46.0,3,4,54.5423643,18.550196051452584
485000,Gdańsk,Jasień,9877,49.1,2,3,54.350638,18.5331999
1399000,Gdańsk,Wrzeszcz,15961,87.65,4,0,54.3663969,18.5989065
679000,Gdańsk,Chełm,10287,66.0,3,5,54.3419017,18.6176897
569000,Gdańsk,Morena,12650,44.98,2,0,54.3487874,18.5881784
363000,Gdynia,Karwiny,10083,36.0,2,3,54.4736423,18.4942958
1225431,Gdynia,Redłowo,14100,86.91,4,3,54.49655895,18.54078213373733
429998,Gdańsk,Żabianka,11315,38.0,2,0,54.4201197,18.5756153
550000,Gdynia,Dąbrowa,8634,63.7,3,1,54.4698964,18.4668049
479000,Gdynia,Działki Leśne,11936,40.13,2,1,54.5170763,18.5173829
2480000,Gdańsk,Długie ogrody,25860,95.9,4,2,54.3494168,18.6602316
649000,Gdańsk,Przymorze,12087,53.69,3,1,54.4004043,18.5794872
429000,Gdynia,Chylonia,9533,45.0,2,2,54.5388666,18.4812602
799000,Gdańsk,Kowale,8666,92.2,4,2,54.31119,18.56453
720000,Gdynia,Wiczlino,10690,67.35,3,1,54.4939336,18.4306437
559000,Gdańsk,Siedlce,11502,48.6,3,1,54.3500247,18.6180712
849000,Gdynia,Mały Kack,12128,70.0,3,1,54.4736509,18.5070401
830000,Gdynia,Wielki Kack,9880,84.0,4,1,54.4636595,18.4946838
429000,Gdynia,Redłowo,10214,42.0,1,0,54.4946583,18.5472092
495000,Gdynia,Oksywie,11169,44.32,2,10,54.5492846,18.5241345
669000,Sopot,Kamienny Potok,12598,53.1,3,1,54.4541519,18.5520781
1099000,Gdańsk,Jasień,9866,111.39,4,2,54.3536518,18.5500839
599000,Gdańsk,Przymorze,10327,58.0,3,4,54.4066572,18.5836606
1189000,Gdańsk,Przymorze,18462,64.4,3,3,54.4087838,18.5891854
