Dzielnica;Cena;Cena za m2;Szerokosc;Dlugosc
Gdynia Port;2990000.0;28816.0;54.539351;18.516459
Jelitkowo;1990000.0;34248.5;54.421758;18.601338
Orłowo;1676000.0;23102.0;54.47727116244603;18.55399334166899
Dolny Sopot;1599500.0;21740.5;54.44484866740859;18.567002427266544
Wyścigi / Karlikowo;1339500.0;18173.0;54.43173480222475; 18.56828607773925
Matemblewo;1189500.0;13736.0;54.36340133488337;18.558580494288428
Olszynka;1150000.0;12458.0;54.33624990572871;18.676041707574566
Długie ogrody;995000.0;17750.0;54.3483815;18.669664
Mały Kack;942000.0;13381.0;54.477950297945924;18.519318256367715
Chwarzno;928500.0;11586.5;54.501769792308394;18.45907167890417
Stare Przedmieście;920000.0;18693.0;54.3465874;18.6473731
Kamienna Góra;899000.0;14640.0;54.51154341660377;18.546988633030036
Sobieszewo;890000.0;17425.0;54.3443119;18.8256616
Śródmieście;857869.5;16325.0;54.51807238151736;18.542272882826545
Aniołki;820000.0;10805.5;54.3643368;18.6280641
Oliwa;794500.0;13475.5;54.4070061960161;18.544843029903703
Kiełpino Górne;789500.0;8006.0;54.3407251;18.5079237
Letnica;775000.0;15000.0;54.3897682;18.6470773
Wrzeszcz;769000.0;12018.0;54.37729247829238;18.60893601773438
Redłowo;760600.0;13071.5;54.4923852;18.55131783315398
Morena;734999.0;13787.0;54.35266609959747;18.594036209332838
Dolne miasto;729000.0;14194.0;54.3421707;18.6608919
Wiczlino;706150.0;10944.5;54.4839443;18.4369961
Strzyża;704000.0;11485.0;54.3869446;18.5829104
Brzeźno;682500.0;13476.5;54.4048419;18.6310398
Kamienny Potok;669000.0;14000.0;54.457663658217534;18.553767843851727
Kiełpinek;669000.0;12880.5;54.35533022906252;18.52800824903141
Wielki Kack;665000.0;10098.0;54.4676639;18.4928425
Orunia Górna;655000.0;10475.0;54.3247964;18.6181892
Niedźwiednik;650000.0;10000.0;54.37674705123046;18.564294183767398
Osowa;649000.0;10000.0;54.4302979;18.4700175
Zaspa;647000.0;12270.0;54.395853396209446; 18.603007162467225
Młode miasto;644500.0;17223.5;54.3609443;18.6515838
Przymorze;604500.0;13315.5;54.41128516887207; 18.59783644719885
Działki Leśne;600000.0;11813.0;54.514046699999994;18.520312681018645
Suchanino;599000.0;10696.0;54.3558049;18.6071618
Ujeścisko;599000.0;10540.0;54.3337106;18.5911818
Chełm;598000.0;10254.0;54.34048239554327;18.619028634211574
Babie Doły;590000.0;10708.0;54.5813827;18.5394172
Oksywie;589000.0;10587.0;54.55184;18.5443851
Zakoniczyn;575000.0;9983.0;54.3210054;18.5781918
Siedlce;559000.0;11289.0;54.34719343844025;18.617140876286896
Demptowo;559000.0;7995.0;54.5100014533215;18.459144042426125
Jasień;555000.0;10680.0;54.34001880433999;18.54762534022198
Maćkowy;550000.0;9821.0;54.3041165;18.607974
Żabianka;549500.0;12642.5;54.419097046594835;18.57517301189078
Dąbrowa;549000.0;8927.5;54.474001429397596;18.462919143874878
Kokoszki;547000.0;8812.5;54.354766;18.4911709
Karwiny;539000.0;9374.0;54.4720926;18.4962984
Brodwino;499000.0;12082.0;54.4569746;18.532206693649655
Karczemki;498999.0;8121.0;54.4457511;18.3873932
Pogórze;489000.0;8079.0;54.565947189279;18.48168914463292
Łostowice;473299.0;11206.0;54.31248067754376;18.594977284957587
Leszczynki;473000.0;8937.5;54.529499285465164;18.48574081500423
Młyniska;470000.0;10262.0;54.3708051;18.648289
Nowy Port;469000.0;9139.0;54.401528;18.6632801
Grabówek;465000.0;9511.0;54.522580943168954;18.504205697594124
Kowale;462000.0;9170.0;54.3095095896556;18.561435506450245
Pustki Cisowskie;454500.0;8111.0;54.5362119;18.4469068
Obłuże;449000.0;8095.0;54.5531148;18.5175055
Witomino;439000.0;10828.0;54.4984985;18.509001
Cisowa;435000.0;8472.0;54.5492302486751;18.43877656883418
Przeróbka;430000.0;10185.0;54.3821548;18.6715684
VII Dwór;424490.0;14165.5;54.38725696527551;18.56280880996054
Stogi;415000.0;9767.0;54.38131240048629;18.697980054271707
Św. Wojciecha;410000.0;9318.0;54.284687904060874;18.62588450009872
Orunia;399000.0;9279.0;54.3239034;18.6329388
Chylonia;396000.0;9133.0;54.541796787842955;18.47236266666291
Górki zachodnie;265000.0;3681.0;54.3558071;18.771004
